Date,Ticker,isPartial,Noise
2020-01-05,PRTY,False,43
2020-01-12,PRTY,False,43
2020-01-19,PRTY,False,33
2020-01-26,PRTY,False,34
2020-02-02,PRTY,False,45
2020-02-09,PRTY,False,43
2020-02-16,PRTY,False,44
2020-02-23,PRTY,False,35
2020-03-01,PRTY,False,37
2020-03-08,PRTY,False,32
2020-03-15,PRTY,False,34
2020-03-22,PRTY,False,32
2020-03-29,PRTY,False,28
2020-04-05,PRTY,False,42
2020-04-12,PRTY,False,38
2020-04-19,PRTY,False,32
2020-04-26,PRTY,False,58
2020-05-03,PRTY,False,55
2020-05-10,PRTY,False,36
2020-05-17,PRTY,False,35
2020-05-24,PRTY,False,95
2020-05-31,PRTY,False,82
2020-06-07,PRTY,False,100
2020-06-14,PRTY,False,71
2020-06-21,PRTY,False,49
2020-06-28,PRTY,False,66
2020-07-05,PRTY,False,52
2020-07-12,PRTY,False,55
2020-07-19,PRTY,False,45
2020-07-26,PRTY,False,51
2020-08-02,PRTY,False,50
2020-08-09,PRTY,False,62
2020-08-16,PRTY,False,69
2020-08-23,PRTY,False,59
2020-08-30,PRTY,False,59
2020-09-06,PRTY,False,47
2020-09-13,PRTY,False,50
2020-09-20,PRTY,False,67
2020-09-27,PRTY,False,68
2020-10-04,PRTY,False,57
2020-10-11,PRTY,False,55
2020-10-18,PRTY,False,64
2020-10-25,PRTY,False,88
2020-11-01,PRTY,False,68
2020-11-08,PRTY,False,55
2020-11-15,PRTY,False,56
2020-11-22,PRTY,False,39
2020-11-29,PRTY,False,35
2020-12-06,PRTY,True,47
