Date,Ticker,isPartial,Noise
2020-01-05,ZM,False,9
2020-01-12,ZM,False,5
2020-01-19,ZM,False,4
2020-01-26,ZM,False,4
2020-02-02,ZM,False,10
2020-02-09,ZM,False,7
2020-02-16,ZM,False,12
2020-02-23,ZM,False,17
2020-03-01,ZM,False,32
2020-03-08,ZM,False,27
2020-03-15,ZM,False,35
2020-03-22,ZM,False,71
2020-03-29,ZM,False,54
2020-04-05,ZM,False,43
2020-04-12,ZM,False,43
2020-04-19,ZM,False,42
2020-04-26,ZM,False,39
2020-05-03,ZM,False,28
2020-05-10,ZM,False,23
2020-05-17,ZM,False,19
2020-05-24,ZM,False,21
2020-05-31,ZM,False,78
2020-06-07,ZM,False,33
2020-06-14,ZM,False,35
2020-06-21,ZM,False,30
2020-06-28,ZM,False,20
2020-07-05,ZM,False,23
2020-07-12,ZM,False,24
2020-07-19,ZM,False,17
2020-07-26,ZM,False,17
2020-08-02,ZM,False,15
2020-08-09,ZM,False,18
2020-08-16,ZM,False,25
2020-08-23,ZM,False,27
2020-08-30,ZM,False,100
2020-09-06,ZM,False,29
2020-09-13,ZM,False,25
2020-09-20,ZM,False,44
2020-09-27,ZM,False,34
2020-10-04,ZM,False,25
2020-10-11,ZM,False,36
2020-10-18,ZM,False,43
2020-10-25,ZM,False,36
2020-11-01,ZM,False,30
2020-11-08,ZM,False,55
2020-11-15,ZM,False,50
2020-11-22,ZM,False,33
2020-11-29,ZM,False,63
2020-12-06,ZM,True,25
