Date,Ticker,isPartial,Noise
2020-01-05,DIS,False,55
2020-01-12,DIS,False,55
2020-01-19,DIS,False,51
2020-01-26,DIS,False,65
2020-02-02,DIS,False,74
2020-02-09,DIS,False,57
2020-02-16,DIS,False,54
2020-02-23,DIS,False,72
2020-03-01,DIS,False,73
2020-03-08,DIS,False,100
2020-03-15,DIS,False,96
2020-03-22,DIS,False,99
2020-03-29,DIS,False,83
2020-04-05,DIS,False,88
2020-04-12,DIS,False,76
2020-04-19,DIS,False,74
2020-04-26,DIS,False,74
2020-05-03,DIS,False,91
2020-05-10,DIS,False,71
2020-05-17,DIS,False,81
2020-05-24,DIS,False,72
2020-05-31,DIS,False,72
2020-06-07,DIS,False,72
2020-06-14,DIS,False,63
2020-06-21,DIS,False,63
2020-06-28,DIS,False,60
2020-07-05,DIS,False,60
2020-07-12,DIS,False,61
2020-07-19,DIS,False,60
2020-07-26,DIS,False,55
2020-08-02,DIS,False,71
2020-08-09,DIS,False,57
2020-08-16,DIS,False,53
2020-08-23,DIS,False,59
2020-08-30,DIS,False,63
2020-09-06,DIS,False,55
2020-09-13,DIS,False,57
2020-09-20,DIS,False,58
2020-09-27,DIS,False,67
2020-10-04,DIS,False,57
2020-10-11,DIS,False,58
2020-10-18,DIS,False,57
2020-10-25,DIS,False,60
2020-11-01,DIS,False,63
2020-11-08,DIS,False,74
2020-11-15,DIS,False,65
2020-11-22,DIS,False,56
2020-11-29,DIS,False,60
2020-12-06,DIS,True,56
