Date,Ticker,Adj Close,Volume
2020-01-02,MCD,195.90240478515625,3554200
2020-01-03,MCD,195.20970153808594,2767600
2020-01-06,MCD,197.40492248535156,4660400
2020-01-07,MCD,197.6976318359375,4047400
2020-01-08,MCD,200.8977813720703,5284200
2020-01-09,MCD,203.27838134765625,5971600
2020-01-10,MCD,202.2246856689453,2336400
2020-01-13,MCD,201.48316955566406,2784200
2020-01-14,MCD,202.27346801757812,2622700
2020-01-15,MCD,204.66383361816406,3369400
2020-01-16,MCD,205.717529296875,2726700
2020-01-17,MCD,206.82000732421875,3540400
2020-01-21,MCD,206.01998901367188,4100500
2020-01-22,MCD,206.2931671142578,2757400
2020-01-23,MCD,208.2249755859375,3378200
2020-01-24,MCD,206.09803771972656,3106300
2020-01-27,MCD,204.24427795410156,3389300
2020-01-28,MCD,205.2687225341797,3855200
2020-01-29,MCD,209.2201385498047,5734800
2020-01-30,MCD,210.91778564453125,3560700
2020-01-31,MCD,208.76158142089844,3920800
2020-02-03,MCD,209.94212341308594,3539200
2020-02-04,MCD,209.39576721191406,3367900
2020-02-05,MCD,209.15184020996094,2911400
2020-02-06,MCD,207.6883544921875,2903300
2020-02-07,MCD,206.45904541015625,2421600
2020-02-10,MCD,208.0200958251953,2318800
2020-02-11,MCD,210.478759765625,2694500
2020-02-12,MCD,212.1666259765625,2844900
2020-02-13,MCD,212.1276092529297,2853400
2020-02-14,MCD,211.80563354492188,1720400
2020-02-18,MCD,210.8885040283203,2712600
2020-02-19,MCD,210.3811798095703,2229500
2020-02-20,MCD,209.8445587158203,2869400
2020-02-21,MCD,210.6153106689453,2791200
2020-02-24,MCD,208.32252502441406,4218800
2020-02-25,MCD,206.93710327148438,5053700
2020-02-26,MCD,204.9857940673828,4190800
2020-02-27,MCD,196.1072998046875,6406200
2020-02-28,MCD,190.62905883789062,11377800
2020-03-02,MCD,198.85623168945312,6154200
2020-03-03,MCD,195.87167358398438,5115200
2020-03-04,MCD,203.24472045898438,4260400
2020-03-05,MCD,194.703369140625,4107200
2020-03-06,MCD,195.23353576660156,6360100
2020-03-09,MCD,183.45237731933594,7788500
2020-03-10,MCD,196.2152862548828,5835200
2020-03-11,MCD,184.8170166015625,5625100
2020-03-12,MCD,167.0274658203125,9079300
2020-03-13,MCD,173.89979553222656,8042600
2020-03-16,MCD,146.2926025390625,9341300
2020-03-17,MCD,144.92794799804688,13708200
2020-03-18,MCD,134.79615783691406,12627600
2020-03-19,MCD,146.77366638183594,12773400
2020-03-20,MCD,145.7821044921875,12000000
2020-03-23,MCD,134.59982299804688,10660400
2020-03-24,MCD,158.9966278076172,11678400
2020-03-25,MCD,160.00784301757812,9708700
2020-03-26,MCD,164.29815673828125,8259900
2020-03-27,MCD,161.01905822753906,6441400
2020-03-30,MCD,165.06393432617188,5621700
2020-03-31,MCD,162.33462524414062,4519900
2020-04-01,MCD,155.28555297851562,4668900
2020-04-02,MCD,158.55484008789062,4803200
2020-04-03,MCD,157.40615844726562,5050400
2020-04-06,MCD,173.81143188476562,8330900
2020-04-07,MCD,172.3878936767578,7848300
2020-04-08,MCD,174.2532501220703,5665700
2020-04-09,MCD,180.3499755859375,4901900
2020-04-13,MCD,176.83526611328125,3182500
2020-04-14,MCD,180.63470458984375,3863800
