,id,date,search
126,1337125644480737283,2020-12-10,AAPL
127,1337125260156678149,2020-12-10,AAPL
128,1337125252191510528,2020-12-10,AAPL
129,1337125191298772992,2020-12-10,AAPL
130,1337125055117967361,2020-12-10,AAPL
131,1337124990039195649,2020-12-10,AAPL
132,1337124935026675715,2020-12-10,AAPL
133,1337124798707748867,2020-12-10,AAPL
134,1337124235316117504,2020-12-10,AAPL
135,1337123799297351681,2020-12-10,AAPL
136,1337123765898129408,2020-12-10,AAPL
137,1337123670469341185,2020-12-10,AAPL
138,1337123361286131717,2020-12-10,AAPL
139,1337123228548964352,2020-12-10,AAPL
140,1337123189403635713,2020-12-10,AAPL
141,1337122980598411266,2020-12-10,AAPL
142,1337122977050222592,2020-12-10,AAPL
143,1337122966891597826,2020-12-10,AAPL
144,1337122825421926405,2020-12-10,AAPL
145,1337122777166299136,2020-12-10,AAPL
146,1337122704684683264,2020-12-10,AAPL
147,1337122553127706629,2020-12-10,AAPL
148,1337122477961486338,2020-12-10,AAPL
149,1337122192849514497,2020-12-10,AAPL
150,1337121947784777729,2020-12-10,AAPL
151,1337121873507790849,2020-12-10,AAPL
152,1337121847503151104,2020-12-10,AAPL
153,1337121830851719168,2020-12-10,AAPL
154,1337121825277534213,2020-12-10,AAPL
155,1337121740871372802,2020-12-10,AAPL
156,1337121726338134016,2020-12-10,AAPL
157,1337121700840816640,2020-12-10,AAPL
158,1337121664102932480,2020-12-10,AAPL
159,1337121286045257739,2020-12-10,AAPL
160,1337120632362905600,2020-12-10,AAPL
161,1337120421863444480,2020-12-10,AAPL
162,1337120157165084674,2020-12-10,AAPL
163,1337120036121698307,2020-12-10,AAPL
164,1337119937173839873,2020-12-10,AAPL
165,1337119895809650688,2020-12-10,AAPL
166,1337119806017970178,2020-12-10,AAPL
167,1337119706671697923,2020-12-10,AAPL
168,1337119521962938369,2020-12-10,AAPL
169,1337119383596969984,2020-12-10,AAPL
170,1337119264499707906,2020-12-10,AAPL
171,1337119192592642050,2020-12-10,AAPL
172,1337119014456274944,2020-12-10,AAPL
173,1337119000531267585,2020-12-10,AAPL
174,1337118936903643136,2020-12-10,AAPL
175,1337118847246069761,2020-12-10,AAPL
176,1337118669026054145,2020-12-10,AAPL
177,1337118556702568454,2020-12-10,AAPL
178,1337118460472684544,2020-12-10,AAPL
179,1337118402125639682,2020-12-10,AAPL
180,1337118321582493698,2020-12-10,AAPL
181,1337118318130573312,2020-12-10,AAPL
182,1337118304918523912,2020-12-10,AAPL
183,1337118082045718534,2020-12-10,AAPL
184,1337118064463253504,2020-12-10,AAPL
185,1337118050127142912,2020-12-10,AAPL
186,1337118046272561154,2020-12-10,AAPL
187,1337118017801474048,2020-12-10,AAPL
188,1337117785009303552,2020-12-10,AAPL
189,1337117619044945920,2020-12-10,AAPL
190,1337117407337459718,2020-12-10,AAPL
191,1337117373095178241,2020-12-10,AAPL
192,1337117281466286080,2020-12-10,AAPL
193,1337117279205507072,2020-12-10,AAPL
194,1337117265464987648,2020-12-10,AAPL
195,1337117036162461702,2020-12-10,AAPL
196,1337116870667866117,2020-12-10,AAPL
197,1337116798316130310,2020-12-10,AAPL
198,1337116782264508426,2020-12-10,AAPL
199,1337116257208897541,2020-12-10,AAPL
200,1337116186220371968,2020-12-10,AAPL
201,1337116143237132288,2020-12-10,AAPL
202,1337116120839462912,2020-12-10,AAPL
203,1337116073234149385,2020-12-10,AAPL
204,1337116040942264324,2020-12-10,AAPL
205,1337116017743413248,2020-12-10,AAPL
206,1337116000861491200,2020-12-10,AAPL
207,1337115952140361728,2020-12-10,AAPL
208,1337115924621524992,2020-12-10,AAPL
209,1337115636082880512,2020-12-10,AAPL
210,1337115321895972865,2020-12-10,AAPL
211,1337115206254813193,2020-12-10,AAPL
212,1337115176504619008,2020-12-10,AAPL
213,1337115129838759936,2020-12-10,AAPL
214,1337115118522556417,2020-12-10,AAPL
215,1337115059122790404,2020-12-10,AAPL
216,1337114797855354880,2020-12-10,AAPL
217,1337114636735352835,2020-12-10,AAPL
218,1337114374268317698,2020-12-10,AAPL
219,1337114309676199937,2020-12-10,AAPL
220,1337114241875267584,2020-12-10,AAPL
221,1337113840199340038,2020-12-10,AAPL
222,1337113672016146435,2020-12-10,AAPL
223,1337113630731464705,2020-12-10,AAPL
224,1337113578269241345,2020-12-10,AAPL
225,1337113511449808907,2020-12-10,AAPL
226,1337113446425485313,2020-12-10,AAPL
227,1337113302456016899,2020-12-10,AAPL
228,1337113246147342336,2020-12-10,AAPL
229,1337113230691487744,2020-12-10,AAPL
230,1337113172298313733,2020-12-10,AAPL
231,1337113129461932034,2020-12-10,AAPL
232,1337112985727238144,2020-12-10,AAPL
233,1337112648371085313,2020-12-10,AAPL
234,1337112645153873920,2020-12-10,AAPL
235,1337112519559827456,2020-12-10,AAPL
236,1337112425028530177,2020-12-10,AAPL
237,1337112346007797761,2020-12-10,AAPL
238,1337112192508956678,2020-12-10,AAPL
239,1337112026502602756,2020-12-10,AAPL
240,1337111988057628673,2020-12-10,AAPL
241,1337111792359772168,2020-12-10,AAPL
242,1337111791172792322,2020-12-10,AAPL
243,1337111666979291137,2020-12-10,AAPL
244,1337111612168097792,2020-12-10,AAPL
245,1337111476037955585,2020-12-10,AAPL
246,1337111405980491778,2020-12-10,AAPL
247,1337111306407718914,2020-12-10,AAPL
248,1337110875732381696,2020-12-10,AAPL
249,1337110667636051969,2020-12-10,AAPL
250,1337110429085134848,2020-12-10,AAPL
251,1337110373338648581,2020-12-10,AAPL
252,1337110006513197063,2020-12-10,AAPL
253,1337109917271023625,2020-12-10,AAPL
254,1337109860840779778,2020-12-10,AAPL
