,id,date,search
126,1337122704684683264,2020-12-10,AMZN
127,1337122699118661633,2020-12-10,AMZN
128,1337122553127706629,2020-12-10,AMZN
129,1337122444138713089,2020-12-10,AMZN
130,1337122161870450693,2020-12-10,AMZN
131,1337122102789476354,2020-12-10,AMZN
132,1337122001756901376,2020-12-10,AMZN
133,1337121950355767297,2020-12-10,AMZN
134,1337121947784777729,2020-12-10,AMZN
135,1337121664102932480,2020-12-10,AMZN
136,1337121612533927936,2020-12-10,AMZN
137,1337121537380544512,2020-12-10,AMZN
138,1337121456036085760,2020-12-10,AMZN
139,1337121286045257739,2020-12-10,AMZN
140,1337121243762454529,2020-12-10,AMZN
141,1337121218651164675,2020-12-10,AMZN
142,1337121190708719616,2020-12-10,AMZN
143,1337120951239135234,2020-12-10,AMZN
144,1337120778748235776,2020-12-10,AMZN
145,1337120728143917056,2020-12-10,AMZN
146,1337120421863444480,2020-12-10,AMZN
147,1337120157165084674,2020-12-10,AMZN
148,1337120036121698307,2020-12-10,AMZN
149,1337119937173839873,2020-12-10,AMZN
150,1337119796022956036,2020-12-10,AMZN
151,1337119433500880899,2020-12-10,AMZN
152,1337119340450091009,2020-12-10,AMZN
153,1337119264499707906,2020-12-10,AMZN
154,1337119192592642050,2020-12-10,AMZN
155,1337119113781645312,2020-12-10,AMZN
156,1337119074187431938,2020-12-10,AMZN
157,1337118936903643136,2020-12-10,AMZN
158,1337118847246069761,2020-12-10,AMZN
159,1337118688193826817,2020-12-10,AMZN
160,1337118676349227012,2020-12-10,AMZN
161,1337118630211891201,2020-12-10,AMZN
162,1337118556702568454,2020-12-10,AMZN
163,1337118378998292481,2020-12-10,AMZN
164,1337118321582493698,2020-12-10,AMZN
165,1337118304918523912,2020-12-10,AMZN
166,1337118206603841536,2020-12-10,AMZN
167,1337118109380075520,2020-12-10,AMZN
168,1337118082045718534,2020-12-10,AMZN
169,1337117503605121027,2020-12-10,AMZN
170,1337117407337459718,2020-12-10,AMZN
171,1337117318778736640,2020-12-10,AMZN
172,1337117288458199040,2020-12-10,AMZN
173,1337117281466286080,2020-12-10,AMZN
174,1337117204244910080,2020-12-10,AMZN
175,1337117186200981504,2020-12-10,AMZN
176,1337117043292856320,2020-12-10,AMZN
177,1337116951190130694,2020-12-10,AMZN
178,1337116782184677376,2020-12-10,AMZN
179,1337116685031993344,2020-12-10,AMZN
180,1337116365837246464,2020-12-10,AMZN
181,1337116257208897541,2020-12-10,AMZN
182,1337116157661360136,2020-12-10,AMZN
183,1337116153483767810,2020-12-10,AMZN
184,1337116003734470656,2020-12-10,AMZN
185,1337115952140361728,2020-12-10,AMZN
186,1337115762142695425,2020-12-10,AMZN
187,1337115636082880512,2020-12-10,AMZN
188,1337115383325659137,2020-12-10,AMZN
189,1337115366263201792,2020-12-10,AMZN
190,1337115282767294466,2020-12-10,AMZN
191,1337115206254813193,2020-12-10,AMZN
192,1337115176504619008,2020-12-10,AMZN
193,1337115083412004868,2020-12-10,AMZN
194,1337115059122790404,2020-12-10,AMZN
195,1337114988897574925,2020-12-10,AMZN
196,1337114931158790146,2020-12-10,AMZN
197,1337114722575978500,2020-12-10,AMZN
198,1337114695296299011,2020-12-10,AMZN
199,1337114521412935680,2020-12-10,AMZN
200,1337114445441425411,2020-12-10,AMZN
201,1337114374268317698,2020-12-10,AMZN
